"TFBS","Correlation","P_value","Adjusted_P_value","Null_Hypothesis"
"RAP2.7",-0.0212234330394941,0.777949141005205,0.9858514737575,"Accept"
"RAP2.9",-0.0922100519467847,0.219574330351959,0.890151564672227,"Accept"
"RAV2",0.0459192419941739,0.541613011078906,0.976216233894167,"Accept"
"RAX3",0.0154985742155672,0.836856165934882,0.9858514737575,"Accept"
"REF6",0.107916995615408,0.150457144777328,0.834794437390061,"Accept"
"REV",0.0318567211171252,0.672050571249596,0.9858514737575,"Accept"
"RIN",0.0349069807389959,0.642724316644262,0.9858514737575,"Accept"
"RVE1",0.0111479572481099,0.882256593056838,0.9858514737575,"Accept"
"RVE4",0.0416721125887316,0.579668103763905,0.976216233894167,"Accept"
"RVE5",-0.0288838506239902,0.701117516697573,0.9858514737575,"Accept"
"RVE6",0.0227956783285701,0.761975143865653,0.9858514737575,"Accept"
"RVE7",-0.010761742826299,0.886307764420652,0.9858514737575,"Accept"
"RVE7L",0.00942781368794771,0.90032194995178,0.9858514737575,"Accept"
"RVE8",0.0022120736156564,0.97655496506579,0.987795885526979,"Accept"
"SBP6",0.0511766630205635,0.496285245990548,0.976216233894167,"Accept"
"SBP8",0.0256382682226329,0.733352354397314,0.9858514737575,"Accept"
"SEP1",0.0184857024485608,0.805984031865644,0.9858514737575,"Accept"
"SEP3",-0.0713140552519886,0.34280314661981,0.90656590428341,"Accept"
"SGR5",0.0300623912729117,0.689539615550181,0.9858514737575,"Accept"
"SIZF2",-0.033637930974103,0.654861722950518,0.9858514737575,"Accept"
"SMB",0.0271146593816552,0.718627139706887,0.9858514737575,"Accept"
"SMZ",0.0637736330412353,0.396371561750214,0.954278109282193,"Accept"
"SOC1",0.022285996601134,0.767142863087277,0.9858514737575,"Accept"
"SOL1",0.0670448726270428,0.372543607234379,0.93645381096925,"Accept"
"SPL1",0.0124042577876825,0.869100353631119,0.9858514737575,"Accept"
"SPL11",-0.047266381634941,0.529806076742896,0.976216233894167,"Accept"
"SPL11A",0.0837602314290584,0.264959835729182,0.890151564672227,"Accept"
"SPL11B",0.083987255539666,0.263662320113549,0.890151564672227,"Accept"
"SPL12B",0.0657436976913825,0.381914099015702,0.944828501469418,"Accept"
"SPL13A",0.0480652655036749,0.522866091136771,0.976216233894167,"Accept"
"SPL13B",0.0739596838823921,0.325150365624964,0.904228562912323,"Accept"
"SPL13D",0.0593768197126284,0.429796934428751,0.976216233894167,"Accept"
"SPL14",-0.0339392468107882,0.651971535953726,0.9858514737575,"Accept"
"SPL14B",0.0795033906519546,0.290098069624258,0.890151564672227,"Accept"
"SPL15",-0.0124835212778242,0.868271454717426,0.9858514737575,"Accept"
"SPL15A",0.0101670822227062,0.892551146235443,0.9858514737575,"Accept"
"SPL15B",-0.00786467294341407,0.916783198926353,0.9858514737575,"Accept"
"SPL15D",0.117198726700982,0.11818995735157,0.820522430561256,"Accept"
"SPL16A",0.0502228933402649,0.504356661508237,0.976216233894167,"Accept"
"SPL16D",0.181582489685147,0.0149889273285208,0.742869364642466,"Accept"
"SPL18A",0.162815208539555,0.0294351098902613,0.742869364642466,"Accept"
"SPL19B",0.0265450568738701,0.724296315303009,0.9858514737575,"Accept"
"SPL1D",0.178790081672329,0.0166377246699196,0.742869364642466,"Accept"
